title,director,year,country,genres,image,synopsis,mubi_url,film_id
2 Days in New York,Julie Delpy,2012,"France, Germany","Comedy, Romance, Drama",https://assets.mubicdn.net/images/film/40807/image-w448.jpg,"Talk-radio host Mingus and his French photographer girlfriend, Marion, live cozily in a New York apartment with their cat and two young children from previous relationships. When Marion’s father, sister, and her sister’s outrageous boyfriend descend upon them for an overseas visit, mayhem ensues.",https://mubi.com/en/films/2-days-in-new-york,40807
"20,000 Species of Bees",Estibaliz Urresola Solaguren,2023,Spain,"Drama, LGBTQ+",https://assets.mubicdn.net/images/film/369452/image-w448.jpg,"An eight-year-old child struggles with the fact that people keep addressing her in confusing ways. During a summer in the Basque Country among the beehives, she explores her identity alongside the women of her family, who at the same time reflect on their own lives and desires.",https://mubi.com/en/films/20-000-species-of-bees,369452
Spring Blossom,Suzanne Lindon,2020,France,"Drama, Romance",https://assets.mubicdn.net/images/film/269604/image-w448.jpg,"Suzanne is sixteen. She is bored with people her own age. Every day on her way to high school, she passes a theater. There, she meets a 35-year-old actor named Raphaël. Despite their age difference they find in each other an answer to their ennui and develop a strong connection.",https://mubi.com/en/films/16-printemps,269604
2022 Oscar® Nominated Short Films: Live Action,"Martin Strange-Hansen, Kristen Davila, Tadeusz Łysiak, Aneil Karia, Maria Brendle",2022,"United States, Denmark",Short,https://assets.mubicdn.net/images/film/335934/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Live Action category at the 2022 Academy Awards : On My Mind, Please Hold, The Dress, The Long Goodbye, and Ala Kachuu: Take and Run.",https://mubi.com/en/films/2022-oscar-nominated-short-films-live-action,335934
2022 Oscar® Nominated Short Films: Animation,"Daniel Ojari, Michael Please, Anton Dyakov, Joanna Quinn, Hugo Covarrubias, Alberto Mielgo",2022,"United Kingdom, Russia","Animation, Short",https://assets.mubicdn.net/images/film/334681/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Animation category at the 2022 Academy Awards : Robin Robin, Boxballet, Affairs of the Art, Bestia, and The Windshield Wiper.",https://mubi.com/en/films/2022-oscar-nominated-short-films-animation,334681
2023 Oscar® Nominated Short Films: Animation,"Lachlan Pendragon, Amanda Forbis, Wendy Tilby, João Gonzalez, Bruno Caetano, Charlie Mackesy, Matthew Freud, Sara Gunnarsdóttir, Pamela Ribon",2023,"Australia, Canada","Animation, Short",https://assets.mubicdn.net/images/film/371776/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Animation category at the Academy Awards®: The Flying Sailor, Ice Merchants, My Year of Dicks, An Ostrich Told Me… and The Boy, the Mole, the Fox and the Horse.",https://mubi.com/en/films/2023-oscar-nominated-short-films-animation,371776
2023 Oscar® Nominated Short Films: Live Action,"Anders Walter, Rebecca Pruzan, Eirik Tveiten, Gaute Lid Larssen, Cyrus Neshvad, Tom Berkeley, Ross White",2023,"Denmark, Norway",Short,https://assets.mubicdn.net/images/film/372097/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Live Action category at the Academy Awards®: Ivalu, Night Ride, Le Pupille, The Red Suitcase and An Irish Goodbye.",https://mubi.com/en/films/2023-oscar-nominated-short-films-live-action,372097
2024 Oscar® Nominated Short Films: Live Action,"Wes Anderson, Misan Harriman, Vincent René-Lortie, Lasse Lyskjær Noer, Nazrin Choudhury",2024,"United Kingdom, Canada","Short, Drama, Comedy, Fantasy, Anthology",https://assets.mubicdn.net/images/film/403744/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Live Action category at the Academy Awards®: The After, Invincible, Knight of Fortune, Red, White and Blue and The Wonderful Story of Henry Sugar.",https://mubi.com/en/films/2024-oscar-nominated-short-films-live-action,403744
2025 Oscar® Nominated Short Films: Animation,"Nina Gantz, Hossein Molayemi, Shirin Sohani, Nicolas Keppens, Loïc Espuche, Daisuke Nishio",2025,"Iran, Japan","Drama, Short, Animation, Comedy",https://assets.mubicdn.net/images/film/436750/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Animation category at the Academy Awards®: Wander to Wonder, In the Shadow of Cypress, Beautiful Men, Yuck! and Magic Candies.",https://mubi.com/en/films/2025-oscar-nominated-short-films-animation,436750
2025 Oscar® Nominated Short Films: Live Action,"Sam Cutler-Kreutz, David Cutler-Kreutz, Victoria Warmerdam, Adam J. Graves, Nebojša Slijepčević, Cindy Lee",2025,"Croatia, Netherlands","Drama, Fantasy, Sci-Fi, Short, Comedy",https://assets.mubicdn.net/images/film/436751/image-w448.jpg,"Compilation of all five films nominated in the Short Films: Live Action category at the Academy Awards®: A Lien, I’m Not a Robot, The Last Ranger, Anuja and The Man Who Could Not Remain Silent.",https://mubi.com/en/films/2025-oscar-nominated-short-films-live-action,436751
