title,director,year,country,genres,image,synopsis,mubi_url,film_id
Ghostlight,"Kelly O'Sullivan, Alex Thompson",2024,United States,"Drama, Comedy",https://assets.mubicdn.net/images/film/397706/image-w448.jpg,"When a construction worker unexpectedly joins a local theater’s production of Romeo and Juliet, the drama onstage starts to mirror his own life.",https://mubi.com/en/films/ghostlight,397706
Gigantic,Matt Aselton,2008,United States,"Comedy, Romance",https://assets.mubicdn.net/images/film/27107/image-w448.jpg,"Mattress salesman Brian Weathersby (Dano) finds his plan to adopt a Chinese baby augmented by the arrival of a young woman, Happy (Deschanel), who comes into his workplaces, falls asleep on one of the beds, and starts to affect his life upon waking up.",https://mubi.com/en/films/gigantic,27107
Gimme Danger,Jim Jarmusch,2016,United States,"Documentary, Music",https://assets.mubicdn.net/images/film/153022/image-w448.jpg,"Emerging from Michigan amidst a countercultural revolution, The Stooges’ powerful and aggressive style of rock ‘n’ roll blew a crater in the musical landscape of the late 1960s. Through a blend of rock, blues, R&B, and free jazz, the band planted the seeds for what would be soon called punk rock.",https://mubi.com/en/films/gimme-danger,153022
Ginger and Rosa,Sally Potter,2012,"United Kingdom, Denmark",Drama,https://assets.mubicdn.net/images/film/99266/image-w448.jpg,"London, 1962. Two teenage girls are inseparable; they play truant together, discuss religion, politics, hairstyles, and dream of lives bigger than their mothers’ domesticity. But, as the Cold War meets the sexual revolution, and with the threat of nuclear holocaust, their friendship is threatened.",https://mubi.com/en/films/ginger-and-rosa,99266
Girl,Lukas Dhont,2018,"Belgium, Netherlands","Drama, LGBTQ+",https://assets.mubicdn.net/images/film/203269/image-w448.jpg,"Teenage Lara dreams of becoming a ballerina. She’s just relocated city to attend a top ballet school and, as she’s in the early stages of gender transition, has newly enrolled in the girls’ class. While pushing herself to keep up with the other girls, Lara also struggles with her hormone therapy.",https://mubi.com/en/films/girl-2018,203269
Girl Asleep,Rosemary Myers,2015,Australia,"Drama, Fantasy",https://assets.mubicdn.net/images/film/156609/image-w448.jpg,"Greta just moved to a new town with her family. She floats in a bubble of loserdom with her only friend Elliott, until her parents throw her a surprise 15th birthday party and she’s flung into a parallel place; a world that’s weirdly erotic, violent, and ludicrous – only there can she find herself.",https://mubi.com/en/films/girl-asleep,156609
Girl in the Window,Luciano Emmer,1961,"France, Italy","Drama, Romance",https://assets.mubicdn.net/images/film/20737/image-w448.jpg,"After an accident in a Dutch coal mine, Italian workers Vincenzo and Federico travel to Amsterdam. In the red-light district, they spend the weekend with two sex workers, Else and Cori. What begins as a fleeting escape turns into entanglements that leave Vincenzo reconsidering his return home.",https://mubi.com/en/films/girl-in-the-window,20737
Girl with a Pearl Earring,Peter Webber,2003,"United Kingdom, Luxembourg","Biography, Drama, Romance",https://assets.mubicdn.net/images/film/1889/image-w448.jpg,"Seventeen-year-old Griet becomes a maid in the house of Johannes Vermeer and soon attracts the master painter’s attention. Although worlds apart in upbringing and social standing, Vermeer recognizes her intuitive understanding of his work and draws her into his mysterious world of art and passion.",https://mubi.com/en/films/girl-with-a-pearl-earring,1889
Girl with a Suitcase,Valerio Zurlini,1961,"Italy, France","Drama, Romance",https://assets.mubicdn.net/images/film/20184/image-w448.jpg,"Born to a wealthy family in Parma, sixteen-year-old Lorenzo tries to make things right toward Aida, a showgirl whom his older brother has mistreated. In extending kindness and standing up for her, he comes of age.",https://mubi.com/en/films/girl-with-a-suitcase,20184
Girls Town,Jim McKay,1996,United States,Drama,https://assets.mubicdn.net/images/film/24388/image-w448.jpg,"Mid-90s, NYC. Patti, Angela, Emma and Nikki are high school seniors and best friends preparing for life beyond graduation. Their dreams for the future differ greatly, but the four bright women are steadfastly loyal to each other. But their lives are completely upended after a tragic incident.",https://mubi.com/en/films/girls-town,24388
Girls Will Be Girls,Shuchi Talati,2024,"India, France",Drama,https://assets.mubicdn.net/images/film/372146/image-w448.jpg,"Sixteen-year-old Mira leads the life of a model student at a boarding school in northern India. As exams approach, her mother returns to the area to support her. But Mira’s encounter with a new student unsettles the relationship between the two women, as each is forced to confront her own desires.",https://mubi.com/en/films/girls-will-be-girls-2023,372146
The Guitar Mongoloid,Ruben Östlund,2004,Sweden,Drama,https://assets.mubicdn.net/images/film/128175/image-w448.jpg,"A young boy sits on top of a roof twisting TV antennas. Two men try to convince another man to participate in a game of Russian roulette. Teenagers destroy all the bicycles they can find. Lonely, peculiar people live outside the norms in the fictitious Swedish town of Jöteborg.",https://mubi.com/en/films/gitarrmongot,128175
Giuseppe Makes a Movie,Adam Rifkin,2014,United States,Documentary,https://assets.mubicdn.net/images/film/125664/image-w448.jpg,"A wildly surreal, outrageously funny and strangely touching documentary about a truly Outsider Artist, Giuseppe Andrews, who has made 30 feature films starring the seriously impaired residents of his trailer park.",https://mubi.com/en/films/giuseppe-makes-a-movie,125664
Glass Curtain,Fikret Reyhan,2023,Turkey,Drama,https://assets.mubicdn.net/images/film/353429/image-w448.jpg,"Nesrin, a divorced woman, lives alone with her four-year-old son. As she contends with pressure from her ex-husband Ömer, she faces difficult decisions about her relationship with her boyfriend Selim, by whom she has become pregnant, while navigating a web of bureaucratic obstacles.",https://mubi.com/en/films/glass-curtain,353429
Glass Life,Sara Cwynar,2021,United States,"Short, Documentary",https://assets.mubicdn.net/images/film/333297/image-w448.jpg,"From her studio, Sara Cwynar uses her computer and various studio setups to make sense of her visual archive—and the world outside. Images of food, artworks, political figures, Instagram models and others contend for our attention in a dizzying navigation through our consumerist visual world.",https://mubi.com/en/films/glass-life,333297
Glassland,Gerard Barrett,2014,Ireland,Drama,https://assets.mubicdn.net/images/film/118794/image-w448.jpg,"In a social housing suburb in Dublin, John lives with his alcoholic mother, Jean, while earning a meager living as a nocturnal taxi driver. When Jean has an opportunity to recover, John must offer his services to a petty criminal to help pay for his mother’s costly rehab program.",https://mubi.com/en/films/glassland,118794
Gloria,Sebastián Lelio,2013,"Chile, Spain",Drama,https://assets.mubicdn.net/images/film/103278/image-w448.jpg,"Gloria is a 58-year-old divorcée. Her children have all left home but she has no desire to spend her days and nights alone. Determined to defy old age and loneliness, she rushes headlong into a whirl of singles’ parties on the hunt for instant gratification.",https://mubi.com/en/films/gloria-2013,103278
Gloria Bell,Sebastián Lelio,2018,"Chile, United States","Drama, Comedy",https://assets.mubicdn.net/images/film/190385/image-w448.jpg,"Gloria, an independent divorcee in her 50s, adores her adult children, but she’s interested in being more than a grandmother. She loves to spend her evenings dancing in singles clubs, hoping to meet Mr. Right. Until she meets Arnold at the bar, with whom she starts an uneasy romance.",https://mubi.com/en/films/gloria-2018,190385
Go Down Death,Aaron Schimberg,2013,United States,"Comedy, Avant-Garde, Drama",https://assets.mubicdn.net/images/film/116136/image-w448.jpg,"In a cross-episodic melange of macabre folktales penned by the fictitious writer Jonathan Mallory Sinus, an abandoned factory in Brooklyn stands in for a decrepit, haunted village. Soldiers are lost and found in endless woods, while a child gravedigger is menaced by a shapeshifting physician…",https://mubi.com/en/films/go-down-death,116136
Go Fish,Rose Troche,1994,United States,"Drama, LGBTQ+, Comedy",https://assets.mubicdn.net/images/film/23122/image-w448.jpg,"Max is a trendy, young lesbian who is having trouble finding love. A friend sets her up with Ely, whom Max likes, but Ely is frumpy, homely, and older. Nor do they have much in common. Can Max learn to look past the packaging?",https://mubi.com/en/films/go-fish,23122
God is Shy,Jocelyn Charles,2025,France,"Animation, Short",https://assets.mubicdn.net/images/film/445143/image-w448.jpg,"During a train ride, Ariel and Paul pass the time sketching their deepest fears. Their game takes an unexpected turn when Gilda, a mysterious passenger, intrudes on their exchange. Yet, her relationship with fear seems far less innocent than their playful drawings.",https://mubi.com/en/films/god-is-shy,445143
God's Creatures,"Saela Davis, Anna Rose Holmer",2022,"United Kingdom, United States",Drama,https://assets.mubicdn.net/images/film/304377/image-w448.jpg,"In an Irish coastal fishing town, factory worker Aileen’s days are brightened when her son Brian returns home after seven years. However, her joy is cut short when one of her co-workers accuses Brian of sexual assault, creating divisions in the town’s close-knit community and within Aileen herself.",https://mubi.com/en/films/god-s-creatures,304377
God's Fool,Nik Sheehan,1997,Canada,Documentary,https://assets.mubicdn.net/images/film/379582/image-w448.jpg,"The story of Scott Symons, a larger-than-life writer who has exiled himself to a beautiful Moroccan seaside town for over 25 years. Some of the best known names in Canadian culture reflect movingly on a man who is obsessed with love, Canada, and the erotic possibilities of birds and furniture.",https://mubi.com/en/films/god-s-fool-1997,379582
God's Own Country,Francis Lee,2017,United Kingdom,"Drama, Romance, LGBTQ+",https://assets.mubicdn.net/images/film/161885/image-w448.jpg,"Johnny works in isolation on his family’s farm in Yorkshire. He numbs his loneliness with binge drinking and casual sex, until the arrival of Gheorghe, a Romanian migrant worker, employed for the lambing season. Johnny suddenly finds himself having to deal with emotions he has never felt before.",https://mubi.com/en/films/god-s-own-country-2017,161885
Godland,Hlynur Pálmason,2022,"Denmark, Iceland",Drama,https://assets.mubicdn.net/images/film/339492/image-w448.jpg,"In the late 19th century, Danish priest Lucas makes the perilous trek to Iceland’s southeastern coast to establish a church. There, the arrogant man of God finds his resolve tested as he confronts the terrain, temptations of the flesh, and the reality of being an intruder in an unforgiving land.",https://mubi.com/en/films/godland-2022,339492
God's Offices,Claire Simon,2008,"France, Belgium",Drama,https://assets.mubicdn.net/images/film/26550/image-w448.jpg,"In a self-help center for family planning, female teenagers and women of all ages and from different sections of society are looking for help. Five counselors speak to these women batting with difficult decisions around contraception, virginity, abortion, and the taboo of sexuality within families.",https://mubi.com/en/films/gods-offices,26550
Godzilla Minus One,Takashi Yamazaki,2023,Japan,"Action, Sci-Fi, War",https://assets.mubicdn.net/images/film/361197/image-w448.jpg,"A kamikaze pilot faces a new threat on Ōdo Island. A colossal monster attacks, claiming the lives of warplane engineers. Burdened by guilt for failing to distract the creature and driven by personal redemption, he joins forces with veterans to confront the monstrous force, known as Godzilla.",https://mubi.com/en/films/godzilla-minus-one,361197
Godzilla x Kong: The New Empire,Adam Wingard,2024,United States,"Action, Adventure",https://assets.mubicdn.net/images/film/391541/image-w448.jpg,"The new installment in the Monsterverse puts the mighty Kong and the fearsome Godzilla against a colossal deadly threat hidden within our world that threatens the existence of their species and our very own, as well as diving deep into the mysteries of Skull Island and beyond.",https://mubi.com/en/films/godzilla-x-kong-the-new-empire,391541
Gofer,Jorge Michel Grau,2012,Mexico,"Drama, Comedy, TV Movie",https://assets.mubicdn.net/images/film/114494/image-w448.jpg,"Alan’s daily life as a driver and assistant to a federal deputy entails enduring the anger and arrogance of his superior; suffering the  contempt of the deputy’s bodyguards and cleaning up all traces of his boss’ misbehaviour. Today, however, Alan has decided that things will be different.",https://mubi.com/en/films/gofer,114494
Gold,Thomas Arslan,2013,"Germany, Canada","Western, Adventure",https://assets.mubicdn.net/images/film/103014/image-w448.jpg,"Canada, 1898. The Gold Rush. Emily Meyer begins a long journey with seven German emigrants in search of fortune in the recently discovered goldfields of Dawson. But they have no idea of the stresses and dangers that lie ahead on their 2,500-kilometre journey through the menacing Canadian wilderness.",https://mubi.com/en/films/gold-2013,103014
Golden Shot,Gökalp Gönen,2015,Turkey,"Animation, Short, Fantasy",https://assets.mubicdn.net/images/film/290111/image-w448.jpg,Rusty machines living in their small houses imagine that the sun will come and take them to the sky someday. A small light keeps them alive and dreaming. But one of the machines wants to see the sun itself and he has a plan for that.,https://mubi.com/en/films/golden-shot,290111
Golem ,Piotr Szulkin,1979,Poland,"Sci-Fi, Drama",https://assets.mubicdn.net/images/film/93415/image-w448.jpg,"In some dystopian future, scientists attempt to create a new, pliable race of humans out of degenerate individuals. A seemingly ordinary product of the effort, the genetically engineered Pernat is subject to round-the-clock monitoring as he goes about his life—until he rebels against his guardians.",https://mubi.com/en/films/golem,93415
Gomorrah,Matteo Garrone,2008,Italy,"Crime, Drama",https://assets.mubicdn.net/images/film/1590/image-w448.jpg,"In the slums of Campania, the Camorra crime syndicate thrives on cocaine, corruption, and chemical waste. Teens Ciro and Marco try to steal weapons to take control, while tailor Pasquale attempts to avoid protection fees. But they soon realize: the Camorra is too powerful to fight.",https://mubi.com/en/films/gomorrah,1590
Good Boy,Ben Leonberg,2025,United States,"Horror, Thriller",https://assets.mubicdn.net/images/film/434850/image-w448.jpg,"A loyal dog moves to a rural family home with his owner Todd, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight to protect the one he loves most.",https://mubi.com/en/films/good-boy-2025-ben-leonberg,434850
"Good Luck to You, Leo Grande",Sophie Hyde,2022,"United Kingdom, United States","Comedy, Drama",https://assets.mubicdn.net/images/film/302196/image-w448.jpg,"A retired school teacher and widow is yearning for human connection and good sex, which she was robbed of in her marriage. She decides to hire a young sex worker, but over the course of their rendezvous, power dynamics shift and their well-worn masks begin to slip.",https://mubi.com/en/films/good-luck-to-you-leo-grande,302196
Good Morning,Yasujirô Ozu,1959,Japan,"Comedy, Drama",https://assets.mubicdn.net/images/film/624/image-w448.jpg,"Two rambunctious boys living in a Tokyo suburb are determined to have a television so that they can watch wrestling and baseball. Their father, who predicts that “TV will produce 100 million idiots,” refuses, and when told to shut up, the boys take the command literally and zip their lips—forever.",https://mubi.com/en/films/good-morning,624
Good Morning Mom,Oben Yılmaz,2024,Turkey,"Drama, Short",https://assets.mubicdn.net/images/film/451864/image-w448.jpg,"At a very huge farm in the middle of nowhere, two sisters engage in a secret struggle with each other in order to win their mother’s love. The family is irreparably shaken on the day the sister gets stuck in the swamp due to an unfortunate accident.",https://mubi.com/en/films/good-morning-mom,451864
"Good Morning, Night",Marco Bellocchio,2003,Italy,Drama,https://assets.mubicdn.net/images/film/1018/image-w448.jpg,"The 1978 kidnapping and murder of Aldo Moro, president of the most important political party in Italy at the time, Democrazia Cristiana, as seen from the perspective of one of his assailants — a conflicted young woman in the ranks of the Red Brigade.",https://mubi.com/en/films/good-morning-night,1018
Good One,India Donaldson,2024,United States,"Drama, Comedy",https://assets.mubicdn.net/images/film/397502/image-w448.jpg,"17-year-old Sam embarks on a backpacking trip in the Catskills with her dad and his oldest friend. As the two men quickly settle into a quarrelsome dynamic, airing long-held grievances, Sam attempts to mediate. But when lines are crossed and her trust is betrayed, tensions reach a fever pitch.",https://mubi.com/en/films/good-one,397502
Good Time,"Josh Safdie, Benny Safdie",2017,United States,"Drama, Crime, Thriller",https://assets.mubicdn.net/images/film/151966/image-w448.jpg,"After a bank robbery lands his younger brother Nick in prison, Connie embarks on a twisted odyssey through the city’s underworld as he attempts to rescue him. Over the course of one night, Connie races against the clock to save his brother and himself, knowing their lives hang in the balance.",https://mubi.com/en/films/good-time,151966
Goodbye Berlin,Fatih Akın,2016,Germany,"Comedy, Family",https://assets.mubicdn.net/images/film/153178/image-w448.jpg,Two young teenage boys steal a car and embark on a road trip that will probably change their lives.,https://mubi.com/en/films/goodbye-berlin,153178
Goodbye First Love,Mia Hansen-Løve,2011,"France, Germany","Romance, Drama",https://assets.mubicdn.net/images/film/39864/image-w448.jpg,"Besotted teenagers Sullivan and Camille struggle with a painful push-pull dynamic, heightened by the young man’s decision to leave Paris and travel. Over the course of eight years, we watch Camille, initially devastated by her boyfriend’s departure, emerge with new passions and a sense of self.",https://mubi.com/en/films/goodbye-first-love,39864
Goodbye to Language,Jean-Luc Godard,2014,France,"Drama, Avant-Garde",https://assets.mubicdn.net/images/film/100599/image-w448.jpg,"A married woman and a single man meet. They love, they argue, fists fly. At the same time, a dog strays between town and country elsewhere. As the seasons pass, the man and woman meet again, and the dog finds itself between them. Then, a second film begins: it looks like the first, and yet is not.",https://mubi.com/en/films/goodbye-to-language,100599
Goodnight Mommy,"Veronika Franz, Severin Fiala",2014,Austria,"Horror, Drama",https://assets.mubicdn.net/images/film/116394/image-w448.jpg,"Twin boys who do everything together, from collecting beetles to feeding stray cats, welcome their mother home after her reconstructive surgery. But with her face wrapped in bandages, and her demeanor distant, they grow suspicious of her identity.",https://mubi.com/en/films/goodnight-mommy,116394
Gorbachev. Heaven,Vitaly Mansky,2020,"Latvia, Czechia",Documentary,https://assets.mubicdn.net/images/film/283519/image-w448.jpg,"An interview with former Russian president Mikhail Gorbachev, one of the most influential figures of the last century, whose rule heralded the end of the Soviet Union. In an intimate setting, he gives his view of Russia then and now.",https://mubi.com/en/films/gorbachev-heaven,283519
Gosford Park,Robert Altman,2001,"United Kingdom, United States","Comedy, Drama, Mystery",https://assets.mubicdn.net/images/film/1856/image-w448.jpg,"In 1930s England, the rich and famous gather together for a weekend of relaxation hosted by Sir William McCordle and Lady Sylvia at their hunting resort, Gosford Park. But when Sir William is found murdered in the library, the overly-attentive servants are sure that everyone present has a motive.",https://mubi.com/en/films/gosford-park,1856
Grand Central,Rebecca Zlotowski,2013,"France, Austria","Drama, Romance",https://assets.mubicdn.net/images/film/104621/image-w448.jpg,"Gary starts working at a nuclear power plant looking for easy money. Karole is the fiancée of longtime plant employee Toni, one of the many who are exposed to deadly radiation levels. Soon Gary and Karole fall in love, and their romance poses a growing threat to the staff’s tight-knit bonds.",https://mubi.com/en/films/grand-central,104621
Grand Illusion,Jean Renoir,1937,France,"Drama, War",https://assets.mubicdn.net/images/film/351/image-w448.jpg,"A group of French soldiers, including an aristocratic captain and a working-class lieutenant, grapple with their class differences as they are held in a WWI German prison camp. When transferred to a high-security fortress ruled by an aristocratic German officer, the men must concoct an escape plan.",https://mubi.com/en/films/grand-illusion,351
Grand Jeté,Isabelle Stever,2022,Germany,Drama,https://assets.mubicdn.net/images/film/332034/image-w448.jpg,"Years ago, to concentrate on her ballet career, Nadja let her son, Mario, grow up with her mother. At a party, the two—who have hardly ever met—encounter one another as strangers and feel physically attracted to each other. They develop an intense, passionate relationship beyond motherly love.",https://mubi.com/en/films/grand-jete,332034
Grand Theft Hamlet,"Pinny Grylls, Sam Crane",2024,United Kingdom,Documentary,https://assets.mubicdn.net/images/film/402447/image-w448.jpg,"With theaters shut during the COVID-19 pandemic, two actors, Sam and Mark, are uncertain about their futures. Finding solace in the virtual chaos of Grand Theft Auto Online, they decide to stage Hamlet in the game’s unpredictable world. This film was produced independently by Project 1961Ltd.",https://mubi.com/en/films/grand-theft-hamlet,402447
Grand Tour,Miguel Gomes,2024,"Portugal, Italy","History, Drama",https://assets.mubicdn.net/images/film/400395/image-w448.jpg,"Burma, 1917. Edward, a civil servant for the British Empire, jilts his lovestruck fiancée Molly the day she arrives to be married. As he flees into an unexpected odyssey across Asia, the free-spirited Molly—amused by his moves—follows in pursuit, embarking on a globe-trotting cat-and-mouse chase.",https://mubi.com/en/films/grand-tour,400395
Granny's Dancing on the Table,Hanna Sköld,2015,Sweden,Drama,https://assets.mubicdn.net/images/film/132330/image-w448.jpg,"Eini, 13 years old, grows up isolated from society with her violent father, a man afraid of the world. The brutality that Eini is exposed to pushes her to almost lose her sense of self but through her invincible fantasy, she creates a world within, from which she can draw strength to survive.",https://mubi.com/en/films/granny-s-dancing-on-the-table,132330
Great Freedom,Sebastian Meise,2021,"Austria, Germany","Drama, LGBTQ+",https://assets.mubicdn.net/images/film/307322/image-w448.jpg,"In post-war Germany, liberation by the Allies does not mean freedom for everyone. Hans is imprisoned again and again under Paragraph 175, a law criminalizing homosexuality. Over the course of decades, he develops an unlikely yet tender bond with his cellmate Viktor, a convicted murderer.",https://mubi.com/en/films/great-freedom,307322
Green,Alonso Ruizpalacios,2016,Mexico,"Short, Action, Thriller",https://assets.mubicdn.net/images/film/159279/image-w448.jpg,Security guards in an armoured van try to manage the stress that comes from being close to a pile of cash in Mexico City. The team’s stability is imperilled when one member nears his boiling point.,https://mubi.com/en/films/green-2016,159279
Greener Grass,"Jocelyn DeBoer, Dawn Luebbe",2019,United States,Comedy,https://assets.mubicdn.net/images/film/225495/image-w448.jpg,"Jill and Lisa are two best frenemies and competitive stay-at-home soccer moms who live in a manicured community where people drive around in golf carts. Jill has a strange need to please people, so when Lisa says that Jill’s new baby is adorable, Jill impulsively offers it to her and Lisa accepts.",https://mubi.com/en/films/greener-grass-2019,225495
Gregory's Girl,Bill Forsyth,1980,United Kingdom,"Comedy, Drama, Romance",https://assets.mubicdn.net/images/film/10144/image-w448.jpg,"Teenage knucklehead Gregory falls hard for Dorothy, a hotshot female player who takes his spot on the boys’ school soccer team. Prodded by the advice of his smart-mouthed 10-year-old sister, Gregory does make his move, but there’s behind the scenes feminine conspiracies en route.",https://mubi.com/en/films/gregory-s-girl,10144
I Am Greta,Nathan Grossman,2020,Sweden,Documentary,https://assets.mubicdn.net/images/film/274451/image-w448.jpg,"Starting with her one-person school strike for climate action outside the Swedish Parliament, this documentary follows teenage climate activist Greta Thunberg—a shy schoolgirl with Asperger’s—in her rise to prominence, and her galvanising global impact as she sparks school strikes around the world.",https://mubi.com/en/films/greta-2020,274451
Griff the Invisible,Leon Ford,2010,Australia,"Comedy, Drama, Romance",https://assets.mubicdn.net/images/film/33978/image-w448.jpg,"Griff, office worker by day, superhero by night, has his world turned upside down when he meets Melody, a beautiful young scientist who shares his passion for the impossible.",https://mubi.com/en/films/griff-the-invisible,33978
Groundhog Day,Harold Ramis,1993,United States,"Comedy, Sci-Fi, Fantasy, Romance",https://assets.mubicdn.net/images/film/2202/image-w448.jpg,"Phil Connors, an arrogant Pittsburgh weatherman, is dreading his upcoming assignment: to cover a festival in smalltown Pennsylvania. Making no effort to hide his frustration, he will find himself caught in a time warp, where he has to relive the same day over and over again.",https://mubi.com/en/films/groundhog-day,2202
Group Marriage,Stephanie Rothman,1973,United States,Comedy,https://assets.mubicdn.net/images/film/98557/image-w448.jpg,"A twosome becomes a foursome, plus another two, and an unconventional-but-amicable multiple coupling becomes a legal and moral stand for free love.",https://mubi.com/en/films/group-marriage,98557
Guardians of the Galaxy Vol. 3,James Gunn,2023,United States,"Action, Comedy, Adventure",https://assets.mubicdn.net/images/film/252532/image-w448.jpg,"The Guardians of the Galaxy are adjusting to life on Knowhere, but their existence is upended by echoes from Rocket’s past. Peter Quill must lead the Guardians on a dangerous mission to protect Rocket that could lead to the team dissolving.",https://mubi.com/en/films/guardians-of-the-galaxy-vol-3,252532
Güeros,Alonso Ruizpalacios,2014,Mexico,Comedy,https://assets.mubicdn.net/images/film/127002/image-w448.jpg,"The arrival of Tomás gives new energy to his brother Sombra and his friend Santos, whose lives seem to be on hold after a student strike. Together, they decide to go on a road trip to find the legendary musician they listened to as kids, and whose location has been unknown for a long time.",https://mubi.com/en/films/gueros,127002
Guilt,Ümran Safter,2022,Turkey,Drama,https://assets.mubicdn.net/images/film/357102/image-w448.jpg,"Reyhan, raised in a religious family, arrives at her grandmother’s house in a conservative Central Anatolian village, to spend her summer holidays. She has just had her first period and dreads the consequences of being unable to perform the required religious rites.",https://mubi.com/en/films/guilt-2022,357102
Guilty Bystander,Joseph Lerner,1950,United States,"Film noir, Drama",https://assets.mubicdn.net/images/film/125844/image-w448.jpg,"In New York City, ex-cop Max Thursday, now the house detective at a scuzzy hotel in an even scuzzier part of town, exists in an alcoholic haze until his ex-wife appears with news of his son’s disappearance. So, Thursday stumbles through the city’s sleazy underworld searching for his kidnapped son.",https://mubi.com/en/films/guilty-bystander,125844
Gun Woman,Kurando Mitsutake,2014,Japan,"Action, Fantasy",https://assets.mubicdn.net/images/film/114550/image-w448.jpg,"After the brutal rape and death of his wife at the hands of Hamazaki’s son, crippled Japanese doctor Mastermind plans an act of revenge. Buying a Japanese meth head young woman, Mastermind rehabilitates her and trains her up to be a highly skilled killer to assassinate Hamazaki’s son.",https://mubi.com/en/films/gun-woman,114550
Guts and Glitz,Fox Maxy,2024,United States,"Avant-Garde, Documentary",https://assets.mubicdn.net/images/film/417897/image-w448.jpg,"Audiovisual material gathered by filmmaker Fox Maxy over a decade, including documentary footage, television clips, and animation—sometimes layered on top of one another—are presented as one collage. Amid this sensory barrage, themes of sexual violence, community, confidence and joy are explored.",https://mubi.com/en/films/guts-and-glitz,417897
Hackers,Iain Softley,1995,United States,"Thriller, Crime, Sci-Fi",https://assets.mubicdn.net/images/film/27622/image-w448.jpg,"Entering a highly secured computer at a mineral corporation, a newbie hacker uncovers an embezzling plot that could destroy the world’s ecosystem. When the hacker and his pals are targeted for the crime, they must launch a cyber-attack that will clear their names and prevent an ecological disaster.",https://mubi.com/en/films/hackers,27622
Hail,Amiel Courtin-Wilson,2011,Australia,Drama,https://assets.mubicdn.net/images/film/88746/image-w448.jpg,"Fresh out of a Melbourne prison, Dan reunites with the love of his life, Leanne. Together, they are a fierce, passionate, and tender couple—and Dan soon resolves to go straight. But when Leanne’s mysterious old criminal friend appears with a proposal, Dan is lured back to a life of crime.",https://mubi.com/en/films/hail,88746
Hair,Miloš Forman,1979,"West Germany, United States","Comedy, Drama, Musical",https://assets.mubicdn.net/images/film/10175/image-w448.jpg,"Drafted for the Vietnam War, naive farmhand Claude arrives in New York, where he befriends a commune of hippies led by the charismatic George Berger. As they challenge his beliefs and introduce him to a free-spirited world, Claude meets and falls for Sheila, a rich debutante with a rebellious soul.",https://mubi.com/en/films/hair,10175
Hair,Tayfun Pirselimoğlu,2010,"Turkey, Greece",Drama,https://assets.mubicdn.net/images/film/31998/image-w448.jpg,"Hamdi is a wigmaker. After being diagnosed with terminal cancer he loses interest in everything. Then he meets Meryem, who wants to sell her beautiful long hair.",https://mubi.com/en/films/hair-2010,31998
Hair High,Bill Plympton,2004,United States,"Animation, Comedy, Horror",https://assets.mubicdn.net/images/film/47313/image-w448.jpg,"A gothic ’50s high-school comedy about a love-triangle that goes terribly bad, as two young, murdered teens returning to their prom to get revenge.",https://mubi.com/en/films/hair-high,47313
Haitian Corner,Raoul Peck,1988,"United States, Haiti",Drama,https://assets.mubicdn.net/images/film/2991/image-w448.jpg,"A poet from Haiti flees to America after being imprisoned in his native country. Recovering from the experience, he begins to examine his past. One day he encounters his former torturer, and becomes obsessed with taking his revenge.",https://mubi.com/en/films/haitian-corner,2991
Hakkı,Hikmet Kerem Özcan,2024,Turkey,Drama,https://assets.mubicdn.net/images/film/423098/image-w448.jpg,"Middle-aged HAKKI lives in a historical Aegean village with his family. He provides for them by selling statuettes in front of the nearby ancient city as well as guiding local tours. The region harbors business opportunities as touristic interest booms; however, HAKKI fails to catch the trend.",https://mubi.com/en/films/hakki,423098
Hâl,Gözde Karaoğlan,2022,Turkey,"Avant-Garde, Short, Drama",https://assets.mubicdn.net/images/film/426686/image-w448.jpg,"A performer moves through a shifting space, searching for a pure state of presence. Their body struggles, adapts, and responds to its surroundings, caught between stillness and motion.",https://mubi.com/en/films/hal-2022,426686
"Hale County This Morning, This Evening",RaMell Ross,2018,United States,Documentary,https://assets.mubicdn.net/images/film/195823/image-w448.jpg,"Daniel Collins and Quincy Bryant are two young African American men from rural Hale County, Alabama. Hale County This Morning, This Evening looks at their lives over the course of five years, as Collins attends college in search of opportunity and Bryant becomes a father to an energetic son.",https://mubi.com/en/films/hale-county-this-morning-this-evening,195823
Half Nelson,Ryan Fleck,2006,United States,Drama,https://assets.mubicdn.net/images/film/331/image-w448.jpg,"Dan, a dynamic and inspirational history teacher in a Brooklyn high school, leads a secret life of addiction. Juggling his hangovers and homework, Dan keeps his lives separate—until troubled student Drey catches him getting high after school. Soon the two lost souls strike up an unlikely friendship.",https://mubi.com/en/films/half-nelson,331
Ham on Rye,Tyler Taormina,2019,United States,"Comedy, Drama",https://assets.mubicdn.net/images/film/227803/image-w448.jpg,"A bizarre rite of passage at the local deli determines the fate of a generation of teenagers, leading some to escape their suburban town and dooming others to remain.",https://mubi.com/en/films/ham-on-rye,227803
Hamlet Goes Business,Aki Kaurismäki,1987,Finland,"Comedy, Drama",https://assets.mubicdn.net/images/film/26957/image-w448.jpg,"When Hamlet discovers his father’s deceased body, he finds himself pulled into a power struggle as his scheming uncle attempts to secure a monopoly on the Scandinavian rubber duck industry. Will Hamlet avenge his father? Will he become the king of rubber ducks? Does any of it really matter?",https://mubi.com/en/films/hamlet-goes-business,26957
